top - 04:16:55 up  5:33,  1 user,  load average: 0.32, 0.26, 0.30
Tasks: 188 total,   1 running, 186 sleeping,   0 stopped,   1 zombie
%Cpu(s):  4.9 us,  0.0 sy,  0.0 ni, 95.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7976.4 total,   3910.4 free,   2183.9 used,   1882.1 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   5520.2 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 1026 root      20   0  205624 101396  50712 S   2.7   1.2   9:59.85 kube-controller
 1051 root      20   0  447556 256332  60976 S   2.3   3.1  10:03.46 kube-apiserver
12534 root      20   0 1691492  88056  56520 S   2.3   1.1   1:11.32 kubelet
 1008 root      20   0  140096  33024  23956 S   1.0   0.4   3:39.16 kube-scheduler
 1058 root      20   0   10.1g 130448  17548 S   1.0   1.6   3:45.12 etcd
   10 root      20   0       0      0      0 I   0.3   0.0   0:22.67 rcu_sched
 1043 root      20   0 2861524 110396  40436 S   0.3   1.4   3:59.81 dockerd
 1079 root      20   0   10620   3300   2968 S   0.3   0.0   0:17.77 apiservice-kick
 1086 root      20   0  610804  87368  38032 S   0.3   1.1   4:25.72 dockerd
10480 lxd       20   0 3979772 236844   6428 S   0.3   2.9  15:01.46 beam.smp
12170 root      20   0 1495748  67432  34628 S   0.3   0.8   2:16.23 agent
25489 root      20   0 3606592 225480   9164 S   0.3   2.8   0:27.79 java
27551 root      20   0 3618544 260048   9164 S   0.3   3.2   0:34.83 java
    1 root      20   0  132596  10460   6784 S   0.0   0.1   0:24.88 systemd
    2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
    3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
    6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-kblockd
    8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
    9 root      20   0       0      0      0 S   0.0   0.0   0:01.17 ksoftirqd/0
   11 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_bh
   12 root      rt   0       0      0      0 S   0.0   0.0   0:00.05 migration/0
   13 root      rt   0       0      0      0 S   0.0   0.0   0:00.04 watchdog/0
   14 root      20   0       0      0      0 S   0.0   0.0   0:00.01 cpuhp/0
   15 root      20   0       0      0      0 S   0.0   0.0   0:00.01 cpuhp/1
   16 root      rt   0       0      0      0 S   0.0   0.0   0:00.04 watchdog/1
   17 root      rt   0       0      0      0 S   0.0   0.0   0:00.06 migration/1
   18 root      20   0       0      0      0 S   0.0   0.0   0:01.40 ksoftirqd/1
   20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-kblockd
   21 root      20   0       0      0      0 S   0.0   0.0   0:00.01 cpuhp/2
   22 root      rt   0       0      0      0 S   0.0   0.0   0:00.04 watchdog/2
   23 root      rt   0       0      0      0 S   0.0   0.0   0:00.06 migration/2
   24 root      20   0       0      0      0 S   0.0   0.0   0:01.14 ksoftirqd/2
   26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H-kblockd
   27 root      20   0       0      0      0 S   0.0   0.0   0:00.01 cpuhp/3
   28 root      rt   0       0      0      0 S   0.0   0.0   0:00.05 watchdog/3
   29 root      rt   0       0      0      0 S   0.0   0.0   0:00.07 migration/3
   30 root      20   0       0      0      0 S   0.0   0.0   0:01.16 ksoftirqd/3
   32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H-kblockd
   33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
   34 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
   35 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_kthre
   36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
   39 root      20   0       0      0      0 S   0.0   0.0   0:00.03 khungtaskd
   40 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
   41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
   42 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompactd0
   43 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
   44 root      39  19       0      0      0 S   0.0   0.0   0:00.06 khugepaged
   45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 crypto
   46 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
   47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
   48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
   49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
   50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
   51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
   52 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
   54 root      20   0       0      0      0 I   0.0   0.0   0:02.15 kworker/2:1-mm_percpu_wq
   58 root      20   0       0      0      0 S   0.0   0.0   0:00.17 kswapd0
   59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u9:0
   60 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptfs-kthrea
  105 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
  106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_thermal_pm
  107 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
  108 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
  109 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_1
  110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
  116 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
  125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
  142 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger_manager
  200 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_2
  201 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_2
